date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:37	67665/67665	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/box_cards.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/box_cards.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:37	59052/59052	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/box_advanced.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/box_advanced.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:37	56790/56790	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/box_basic.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/box_basic.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:37	59614/59614	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/box_color.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/box_color.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:38	59754/59754	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/box_group.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/box_group.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:38	60444/60444	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_badges.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_badges.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:38	53065/53065	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_border_utilities.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_border_utilities.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:38	92504/92504	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_buttons.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_buttons.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:39	59087/59087	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_color_utilities.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_color_utilities.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:39	57851/57851	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_dropdown.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_dropdown.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:39	66650/66650	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_dropdown_grid.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_dropdown_grid.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:39	56201/56201	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_progress_bars.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_progress_bars.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:40	175455/175455	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_fontawesome.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_fontawesome.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:40	89460/89460	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_glyphicons.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_glyphicons.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:40	234332/234332	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_material.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_material.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:40	84278/84278	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_themify.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_themify.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:40	104455/104455	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_simpleline.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_simpleline.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:41	110154/110154	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_cryptocoins.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_cryptocoins.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:41	72023/72023	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_flag.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_flag.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:41	77213/77213	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/icons_weather.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/icons_weather.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:41	55019/55019	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_ribbons.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_ribbons.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:42	62683/62683	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_sliders.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_sliders.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:42	57382/57382	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_typography.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_typography.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:42	93558/93558	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_tab.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_tab.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:42	79842/79842	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_timeline.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_timeline.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:43	58339/58339	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/ui_timeline_horizontal.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/ui_timeline_horizontal.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:43	60492/60492	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_bootstrap_switch.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_bootstrap_switch.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:43	50334/50334	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_date_paginator.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_date_paginator.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:44	63881/63881	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_media_advanced.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_media_advanced.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:44	53393/53393	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_rangeslider.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_rangeslider.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:44	53470/53470	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_rating.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_rating.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:44	81545/81545	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_animations.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_animations.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:45	50025/50025	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/extension_fullscreen.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/extension_fullscreen.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:45	49737/49737	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/extension_pace.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/extension_pace.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:45	54021/54021	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_nestable.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_nestable.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:45	51978/51978	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/component_portlet_draggable.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/component_portlet_draggable.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:46	78396/78396	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_advanced.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_advanced.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:46	81627/81627	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_general.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_general.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:46	71232/71232	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_wizard.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_wizard.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:46	61753/61753	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_validation.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_validation.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:47	53459/53459	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_mask.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_mask.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:47	50962/50962	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_xeditable.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_xeditable.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:47	49126/49126	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_dropzone.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_dropzone.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:47	52219/52219	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_code_editor.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_code_editor.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:48	49880/49880	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_editors.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_editors.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:48	54172/54172	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/forms_editor_markdown.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/forms_editor_markdown.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:48	70320/70320	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/tables_simple.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/tables_simple.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:48	142307/142307	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/tables_data.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/tables_data.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:49	63986/63986	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/tables_editable.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/tables_editable.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:49	65302/65302	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:48%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/tables_color.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/tables_color.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:49	52178/52178	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/charts_chartjs.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/charts_chartjs.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:49	50838/50838	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/charts_flot.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/charts_flot.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:50	58257/58257	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/charts_inline.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/charts_inline.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
09:48:50	51089/51089	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2023:35:46%20GMT	https://eduadmin-template.multipurposethemes.com/bs4/main/charts_morris.html	C:/My%20Web%20Sites/eduadmiin/eduadmin-template.multipurposethemes.com/bs4/main/charts_morris.html	(from https://eduadmin-template.multipurposethemes.com/bs4/main/index.html)
